Epoch 001 || Loss: 0.2677 | Time(min): 20.16 |Validation Dice: 0.0000 | Testing Dice: 0.0000
Epoch 035 || Loss: 0.0888 | Time(min): 20.69 |Validation Dice: 0.7808 | Testing Dice: 0.7612
Epoch 036 || Loss: 0.1191 | Time(min): 19.99 |Validation Dice: 0.7238 | Testing Dice: 0.8434
Epoch 037 || Loss: 0.0920 | Time(min): 21.19 |Validation Dice: 0.8274 | Testing Dice: 0.8753
Epoch 038 || Loss: 0.0983 | Time(min): 20.70 |Validation Dice: 0.8350 | Testing Dice: 0.8591
Epoch 039 || Loss: 0.0828 | Time(min): 21.08 |Validation Dice: 0.8482 | Testing Dice: 0.8492
Epoch 040 || Loss: 0.0970 | Time(min): 19.88 |Validation Dice: 0.7836 | Testing Dice: 0.7669
Epoch 041 || Loss: 0.0940 | Time(min): 19.22 |Validation Dice: 0.8476 | Testing Dice: 0.8744
Epoch 042 || Loss: 0.1084 | Time(min): 21.10 |Validation Dice: 0.7966 | Testing Dice: 0.8233
Epoch 043 || Loss: 0.0884 | Time(min): 21.08 |Validation Dice: 0.7061 | Testing Dice: 0.8359
Epoch 044 || Loss: 0.0840 | Time(min): 19.34 |Validation Dice: 0.8558 | Testing Dice: 0.8793
Epoch 045 || Loss: 0.0717 | Time(min): 21.87 |Validation Dice: 0.7475 | Testing Dice: 0.8432
Epoch 046 || Loss: 0.0844 | Time(min): 20.11 |Validation Dice: 0.8017 | Testing Dice: 0.8845
Epoch 047 || Loss: 0.1000 | Time(min): 19.74 |Validation Dice: 0.7739 | Testing Dice: 0.8421
Epoch 048 || Loss: 0.0822 | Time(min): 21.93 |Validation Dice: 0.8069 | Testing Dice: 0.8507
Epoch 049 || Loss: 0.0796 | Time(min): 22.07 |Validation Dice: 0.8390 | Testing Dice: 0.8467
Epoch 050 || Loss: 0.0765 | Time(min): 22.69 |Validation Dice: 0.8196 | Testing Dice: 0.8758
Epoch 051 || Loss: 0.0672 | Time(min): 19.99 |Validation Dice: 0.8518 | Testing Dice: 0.8850
Epoch 052 || Loss: 0.0629 | Time(min): 19.88 |Validation Dice: 0.8444 | Testing Dice: 0.8612
Epoch 053 || Loss: 0.0800 | Time(min): 21.22 |Validation Dice: 0.7986 | Testing Dice: 0.7967
Epoch 054 || Loss: 0.0977 | Time(min): 20.68 |Validation Dice: 0.6753 | Testing Dice: 0.6931
Epoch 055 || Loss: 0.1171 | Time(min): 22.33 |Validation Dice: 0.8284 | Testing Dice: 0.8404
Epoch 056 || Loss: 0.0961 | Time(min): 20.85 |Validation Dice: 0.5758 | Testing Dice: 0.5821
Epoch 057 || Loss: 0.1061 | Time(min): 22.40 |Validation Dice: 0.8276 | Testing Dice: 0.8604
Epoch 058 || Loss: 0.0978 | Time(min): 22.25 |Validation Dice: 0.8368 | Testing Dice: 0.8504
Epoch 059 || Loss: 0.0820 | Time(min): 22.12 |Validation Dice: 0.8184 | Testing Dice: 0.8763
Epoch 060 || Loss: 0.0901 | Time(min): 22.25 |Validation Dice: 0.7493 | Testing Dice: 0.8251
Epoch 061 || Loss: 0.0832 | Time(min): 20.64 |Validation Dice: 0.8450 | Testing Dice: 0.8582
Epoch 001 || Loss: 0.7043 | Time(min): 33.81 |Validation Dice: 0.2096 | Testing Dice: 0.2610
Epoch 002 || Loss: 0.5068 | Time(min): 33.93 |Validation Dice: 0.2288 | Testing Dice: 0.2631
Epoch 003 || Loss: 0.3980 | Time(min): 28.68 |Validation Dice: 0.5617 | Testing Dice: 0.4165
Epoch 004 || Loss: 0.3727 | Time(min): 35.65 |Validation Dice: 0.5264 | Testing Dice: 0.6774
Epoch 005 || Loss: 0.3232 | Time(min): 33.45 |Validation Dice: 0.4180 | Testing Dice: 0.5478
Epoch 006 || Loss: 0.2984 | Time(min): 32.10 |Validation Dice: 0.6177 | Testing Dice: 0.8211
Epoch 007 || Loss: 0.2800 | Time(min): 33.29 |Validation Dice: 0.6581 | Testing Dice: 0.7617
Epoch 008 || Loss: 0.2458 | Time(min): 35.34 |Validation Dice: 0.4358 | Testing Dice: 0.5463
Epoch 009 || Loss: 0.2842 | Time(min): 36.81 |Validation Dice: 0.6800 | Testing Dice: 0.8123
Epoch 010 || Loss: 0.2329 | Time(min): 32.25 |Validation Dice: 0.4631 | Testing Dice: 0.5762
Epoch 011 || Loss: 0.2260 | Time(min): 38.27 |Validation Dice: 0.7096 | Testing Dice: 0.7697
Epoch 012 || Loss: 0.2067 | Time(min): 33.92 |Validation Dice: 0.6190 | Testing Dice: 0.8117
Epoch 013 || Loss: 0.1887 | Time(min): 32.50 |Validation Dice: 0.7460 | Testing Dice: 0.8369
Epoch 014 || Loss: 0.1655 | Time(min): 34.16 |Validation Dice: 0.7166 | Testing Dice: 0.8233
Epoch 015 || Loss: 0.2049 | Time(min): 32.67 |Validation Dice: 0.2962 | Testing Dice: 0.2743
Epoch 016 || Loss: 0.2070 | Time(min): 30.74 |Validation Dice: 0.4551 | Testing Dice: 0.5190
Epoch 017 || Loss: 0.1770 | Time(min): 28.51 |Validation Dice: 0.7189 | Testing Dice: 0.8356
Epoch 018 || Loss: 0.1578 | Time(min): 31.72 |Validation Dice: 0.7533 | Testing Dice: 0.8414
Epoch 019 || Loss: 0.1571 | Time(min): 32.13 |Validation Dice: 0.8026 | Testing Dice: 0.8551
Epoch 020 || Loss: 0.1559 | Time(min): 34.40 |Validation Dice: 0.7446 | Testing Dice: 0.7622
Epoch 021 || Loss: 0.1567 | Time(min): 31.88 |Validation Dice: 0.6780 | Testing Dice: 0.7685
Epoch 022 || Loss: 0.1547 | Time(min): 32.42 |Validation Dice: 0.8086 | Testing Dice: 0.8597
Epoch 023 || Loss: 0.1930 | Time(min): 32.51 |Validation Dice: 0.7616 | Testing Dice: 0.7257
Epoch 024 || Loss: 0.1716 | Time(min): 31.04 |Validation Dice: 0.8252 | Testing Dice: 0.8754
Epoch 025 || Loss: 0.1394 | Time(min): 31.34 |Validation Dice: 0.8203 | Testing Dice: 0.8682
Epoch 026 || Loss: 0.1490 | Time(min): 33.37 |Validation Dice: 0.7785 | Testing Dice: 0.7752
Epoch 027 || Loss: 0.1692 | Time(min): 33.52 |Validation Dice: 0.4593 | Testing Dice: 0.4571
Epoch 028 || Loss: 0.1626 | Time(min): 32.39 |Validation Dice: 0.7800 | Testing Dice: 0.8563
Epoch 029 || Loss: 0.1406 | Time(min): 33.94 |Validation Dice: 0.8211 | Testing Dice: 0.8772
Epoch 030 || Loss: 0.1430 | Time(min): 30.29 |Validation Dice: 0.7761 | Testing Dice: 0.8664
Epoch 031 || Loss: 0.1428 | Time(min): 32.81 |Validation Dice: 0.6863 | Testing Dice: 0.6754
Epoch 032 || Loss: 0.1419 | Time(min): 32.18 |Validation Dice: 0.7438 | Testing Dice: 0.8443
Epoch 033 || Loss: 0.1098 | Time(min): 35.39 |Validation Dice: 0.8424 | Testing Dice: 0.8940
Epoch 034 || Loss: 0.1217 | Time(min): 33.95 |Validation Dice: 0.8245 | Testing Dice: 0.8693
Epoch 035 || Loss: 0.1203 | Time(min): 34.08 |Validation Dice: 0.7567 | Testing Dice: 0.8291
Epoch 036 || Loss: 0.1283 | Time(min): 33.20 |Validation Dice: 0.8053 | Testing Dice: 0.8618
Epoch 037 || Loss: 0.1359 | Time(min): 33.52 |Validation Dice: 0.7270 | Testing Dice: 0.8403
Epoch 038 || Loss: 0.1515 | Time(min): 31.88 |Validation Dice: 0.6853 | Testing Dice: 0.7610
Epoch 039 || Loss: 0.1292 | Time(min): 35.37 |Validation Dice: 0.7819 | Testing Dice: 0.8474
Epoch 040 || Loss: 0.1233 | Time(min): 30.18 |Validation Dice: 0.8457 | Testing Dice: 0.8638
Epoch 041 || Loss: 0.1353 | Time(min): 38.80 |Validation Dice: 0.8240 | Testing Dice: 0.8818
Epoch 042 || Loss: 0.1375 | Time(min): 32.66 |Validation Dice: 0.8350 | Testing Dice: 0.8753
Epoch 043 || Loss: 0.1215 | Time(min): 36.21 |Validation Dice: 0.8435 | Testing Dice: 0.9086
Epoch 044 || Loss: 0.1055 | Time(min): 35.69 |Validation Dice: 0.8549 | Testing Dice: 0.8809
Epoch 045 || Loss: 0.1043 | Time(min): 34.71 |Validation Dice: 0.8209 | Testing Dice: 0.8827
Epoch 046 || Loss: 0.1225 | Time(min): 33.85 |Validation Dice: 0.8182 | Testing Dice: 0.8850
Epoch 047 || Loss: 0.1102 | Time(min): 38.33 |Validation Dice: 0.8235 | Testing Dice: 0.8491
Epoch 048 || Loss: 0.1100 | Time(min): 33.74 |Validation Dice: 0.8291 | Testing Dice: 0.8776
Epoch 049 || Loss: 0.1116 | Time(min): 33.03 |Validation Dice: 0.6548 | Testing Dice: 0.7080
Epoch 050 || Loss: 0.1148 | Time(min): 33.81 |Validation Dice: 0.8658 | Testing Dice: 0.9111
Epoch 051 || Loss: 0.1076 | Time(min): 30.72 |Validation Dice: 0.8327 | Testing Dice: 0.8660
Epoch 052 || Loss: 0.0980 | Time(min): 33.83 |Validation Dice: 0.7720 | Testing Dice: 0.8714
Epoch 053 || Loss: 0.1048 | Time(min): 33.72 |Validation Dice: 0.8680 | Testing Dice: 0.8825
Epoch 054 || Loss: 0.1027 | Time(min): 37.15 |Validation Dice: 0.8116 | Testing Dice: 0.7470
Epoch 055 || Loss: 0.1099 | Time(min): 32.05 |Validation Dice: 0.8618 | Testing Dice: 0.9130
Epoch 056 || Loss: 0.0917 | Time(min): 33.73 |Validation Dice: 0.7953 | Testing Dice: 0.8339
Epoch 057 || Loss: 0.1042 | Time(min): 29.70 |Validation Dice: 0.8471 | Testing Dice: 0.8711
Epoch 058 || Loss: 0.1225 | Time(min): 33.06 |Validation Dice: 0.7576 | Testing Dice: 0.8337
Epoch 059 || Loss: 0.1189 | Time(min): 33.20 |Validation Dice: 0.8509 | Testing Dice: 0.8862
Epoch 060 || Loss: 0.1031 | Time(min): 30.70 |Validation Dice: 0.8329 | Testing Dice: 0.8882
Epoch 061 || Loss: 0.1018 | Time(min): 34.62 |Validation Dice: 0.8447 | Testing Dice: 0.8873
Epoch 062 || Loss: 0.0929 | Time(min): 36.62 |Validation Dice: 0.8531 | Testing Dice: 0.8901
Epoch 063 || Loss: 0.1104 | Time(min): 29.77 |Validation Dice: 0.8379 | Testing Dice: 0.8787
Epoch 064 || Loss: 0.1010 | Time(min): 31.01 |Validation Dice: 0.7637 | Testing Dice: 0.7977
Epoch 065 || Loss: 0.1052 | Time(min): 28.48 |Validation Dice: 0.8430 | Testing Dice: 0.8756
Epoch 066 || Loss: 0.1052 | Time(min): 34.12 |Validation Dice: 0.8210 | Testing Dice: 0.8733
Epoch 067 || Loss: 0.0862 | Time(min): 35.06 |Validation Dice: 0.8282 | Testing Dice: 0.8663
Epoch 068 || Loss: 0.1105 | Time(min): 31.66 |Validation Dice: 0.7884 | Testing Dice: 0.8611
Epoch 069 || Loss: 0.0979 | Time(min): 36.48 |Validation Dice: 0.8465 | Testing Dice: 0.8858
Epoch 070 || Loss: 0.1133 | Time(min): 35.17 |Validation Dice: 0.6670 | Testing Dice: 0.5846
Epoch 071 || Loss: 0.1160 | Time(min): 35.12 |Validation Dice: 0.7881 | Testing Dice: 0.8865
Epoch 072 || Loss: 0.1029 | Time(min): 34.54 |Validation Dice: 0.8157 | Testing Dice: 0.8359
Epoch 073 || Loss: 0.0984 | Time(min): 36.01 |Validation Dice: 0.8286 | Testing Dice: 0.8508
Epoch 074 || Loss: 0.0974 | Time(min): 37.46 |Validation Dice: 0.8502 | Testing Dice: 0.9074
Epoch 075 || Loss: 0.0850 | Time(min): 31.93 |Validation Dice: 0.7957 | Testing Dice: 0.8221
Epoch 076 || Loss: 0.1208 | Time(min): 30.69 |Validation Dice: 0.8511 | Testing Dice: 0.8934
Epoch 077 || Loss: 0.0987 | Time(min): 34.04 |Validation Dice: 0.8478 | Testing Dice: 0.9052
Epoch 078 || Loss: 0.0852 | Time(min): 34.67 |Validation Dice: 0.8259 | Testing Dice: 0.8809
Epoch 079 || Loss: 0.0779 | Time(min): 35.11 |Validation Dice: 0.8531 | Testing Dice: 0.8987
Epoch 080 || Loss: 0.1130 | Time(min): 34.57 |Validation Dice: 0.8460 | Testing Dice: 0.8790
Epoch 081 || Loss: 0.0973 | Time(min): 30.79 |Validation Dice: 0.8573 | Testing Dice: 0.8983
Epoch 082 || Loss: 0.0827 | Time(min): 34.48 |Validation Dice: 0.8689 | Testing Dice: 0.9139
Epoch 083 || Loss: 0.1003 | Time(min): 33.16 |Validation Dice: 0.8561 | Testing Dice: 0.8953
Epoch 084 || Loss: 0.0783 | Time(min): 31.39 |Validation Dice: 0.8313 | Testing Dice: 0.8917
Epoch 085 || Loss: 0.0854 | Time(min): 32.78 |Validation Dice: 0.7136 | Testing Dice: 0.6362
Epoch 086 || Loss: 0.1227 | Time(min): 36.11 |Validation Dice: 0.8430 | Testing Dice: 0.8877
Epoch 087 || Loss: 0.1052 | Time(min): 35.35 |Validation Dice: 0.8869 | Testing Dice: 0.9176
Epoch 088 || Loss: 0.1013 | Time(min): 32.19 |Validation Dice: 0.7126 | Testing Dice: 0.5719
Epoch 089 || Loss: 0.0785 | Time(min): 30.87 |Validation Dice: 0.8744 | Testing Dice: 0.9185
Epoch 090 || Loss: 0.0802 | Time(min): 35.24 |Validation Dice: 0.8365 | Testing Dice: 0.9065
Epoch 091 || Loss: 0.0805 | Time(min): 37.31 |Validation Dice: 0.8464 | Testing Dice: 0.9010
Epoch 092 || Loss: 0.0682 | Time(min): 32.67 |Validation Dice: 0.8563 | Testing Dice: 0.8881
Epoch 093 || Loss: 0.0869 | Time(min): 30.07 |Validation Dice: 0.8093 | Testing Dice: 0.8838
Epoch 094 || Loss: 0.0903 | Time(min): 31.50 |Validation Dice: 0.8615 | Testing Dice: 0.8740
Epoch 095 || Loss: 0.0983 | Time(min): 32.95 |Validation Dice: 0.7045 | Testing Dice: 0.7067
Epoch 096 || Loss: 0.1326 | Time(min): 30.89 |Validation Dice: 0.8144 | Testing Dice: 0.8834
Epoch 097 || Loss: 0.0953 | Time(min): 32.63 |Validation Dice: 0.8274 | Testing Dice: 0.8846
Epoch 098 || Loss: 0.0844 | Time(min): 34.77 |Validation Dice: 0.8532 | Testing Dice: 0.9010
Epoch 099 || Loss: 0.0752 | Time(min): 34.64 |Validation Dice: 0.8317 | Testing Dice: 0.9093
Epoch 100 || Loss: 0.0773 | Time(min): 35.25 |Validation Dice: 0.8911 | Testing Dice: 0.9179
